date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:25:56	122/122	---M-Z	200	added ('OK')	text/plain	etag:%22950-1712964396;gz%22	https://englobaleducation.co.uk/robots.txt		(from )
23:26:16	343450/343450	---MCZ	200	added ('OK')	text/html	etag:%22944-1712962941;gz%22	https://englobaleducation.co.uk/	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/index.html	(from )
23:26:23	30629/30629	---M-Z	200	added ('OK')	text/css	etag:%2277a5-63a29a1b-6f386af6b1a3a7c2;gz%22	https://englobaleducation.co.uk/wp-content/plugins/christmas_card_1/the_card/css/styles_christmas.css?ver=6.1.1	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/plugins/christmas_card_1/the_card/css/styles_christmas6a4d.css	(from https://englobaleducation.co.uk/)
23:26:33	817/817	---MCZ	200	added ('OK')	application/rss+xml	etag:%2265f0b6cb4f801a4f1b0d4fea709d8461%22	https://englobaleducation.co.uk/comments/feed/	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/comments/feed/index.html	(from https://englobaleducation.co.uk/)
23:26:35	33063/33063	---M-Z	200	added ('OK')	text/css	etag:%228127-63a29a1b-de52ccd91d250b80;gz%22	https://englobaleducation.co.uk/wp-content/plugins/christmas_card_1/the_card/css/media-queries.css?ver=6.1.1	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/plugins/christmas_card_1/the_card/css/media-queries6a4d.css	(from https://englobaleducation.co.uk/)
23:26:35	3754/3754	---M-Z	200	added ('OK')	text/css	etag:%22eaa-63a29a1b-fdf6a70dc9bc4eb4;gz%22	https://englobaleducation.co.uk/wp-content/plugins/christmas_card_1/the_card/css/styles_fireworks.css?ver=6.1.1	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/plugins/christmas_card_1/the_card/css/styles_fireworks6a4d.css	(from https://englobaleducation.co.uk/)
23:26:36	751/751	---M-Z	200	added ('OK')	text/css	etag:%222ef-63a29a1b-ffa67cdf698ca2cf;gz%22	https://englobaleducation.co.uk/wp-content/plugins/christmas_card_1/the_card/css/limelight.css?ver=6.1.1	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/plugins/christmas_card_1/the_card/css/limelight6a4d.css	(from https://englobaleducation.co.uk/)
23:26:38	868/868	---M-Z	200	added ('OK')	text/css	etag:%22364-63a29a1b-9f179da9fcdd75bc;gz%22	https://englobaleducation.co.uk/wp-content/plugins/christmas_card_1/the_card/css/tangerine.css?ver=6.1.1	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/plugins/christmas_card_1/the_card/css/tangerine6a4d.css	(from https://englobaleducation.co.uk/)
23:26:39	1872/1872	---M-Z	200	added ('OK')	text/css	etag:%22750-63a29a1b-46f57a77ff6eaa7d;gz%22	https://englobaleducation.co.uk/wp-content/plugins/christmas_card_1/the_card/css/yesevaone.css?ver=6.1.1	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/plugins/christmas_card_1/the_card/css/yesevaone6a4d.css	(from https://englobaleducation.co.uk/)
23:26:39	1638/1638	---M-Z	200	added ('OK')	text/css	etag:%22666-63a29a1b-497f12ce207f660d;gz%22	https://englobaleducation.co.uk/wp-content/plugins/christmas_card_1/the_card/audioPlayer/audio1_html5.css?ver=6.1.1	C:/Users/DELL/Desktop/Badmus%20Qudus%20Ayomide/New%20era/mayowa/englobaleducation.co.uk/wp-content/plugins/christmas_card_1/the_card/audioPlayer/audio1_html56a4d.css	(from https://englobaleducation.co.uk/)
